iter	Passed	Remaining
0	26	26833
1	41	20540
2	54	18193
3	71	17839
4	84	16867
5	101	16794
6	116	16518
7	131	16298
8	147	16227
9	162	16110
10	182	16408
11	190	15722
12	199	15109
13	206	14551
14	213	14037
15	221	13610
16	228	13206
17	235	12846
18	242	12539
19	250	12266
20	257	11988
21	264	11766
22	272	11586
23	279	11386
24	287	11218
25	294	11036
26	302	10891
27	309	10738
28	316	10604
29	324	10482
30	331	10352
31	338	10234
32	345	10128
33	353	10035
34	360	9945
35	368	9878
36	375	9780
37	384	9728
38	393	9697
39	400	9605
40	407	9534
41	414	9453
42	421	9369
43	426	9273
44	434	9213
45	441	9155
46	450	9127
47	458	9102
48	466	9054
49	472	8985
50	479	8926
51	486	8874
52	495	8844
53	501	8794
54	509	8747
55	516	8709
56	523	8664
57	531	8631
58	538	8591
59	546	8558
60	553	8515
61	561	8487
62	567	8446
63	576	8426
64	583	8398
65	592	8381
66	601	8370
67	609	8352
68	617	8327
69	624	8300
70	632	8269
71	639	8237
72	647	8219
73	655	8208
74	664	8191
75	672	8172
76	681	8164
77	688	8134
78	696	8120
79	704	8102
80	712	8078
81	719	8055
82	725	8015
83	733	7996
84	740	7976
85	748	7950
86	755	7929
87	762	7904
88	771	7892
89	778	7869
90	785	7849
91	792	7822
92	799	7798
93	807	7778
94	815	7766
95	824	7761
96	831	7745
97	840	7733
98	849	7728
99	857	7714
100	865	7708
101	876	7718
102	886	7716
103	893	7701
104	900	7675
105	907	7654
106	914	7630
107	921	7611
108	929	7597
109	936	7580
110	945	7569
111	953	7556
112	964	7569
113	972	7559
114	979	7534
115	986	7515
116	994	7502
117	1002	7492
118	1009	7475
119	1017	7460
120	1025	7452
121	1033	7438
122	1042	7435
123	1050	7423
124	1057	7405
125	1065	7391
126	1072	7371
127	1079	7353
128	1086	7337
129	1093	7316
130	1100	7302
131	1108	7287
132	1115	7271
133	1123	7263
134	1133	7265
135	1141	7252
136	1149	7239
137	1157	7227
138	1165	7216
139	1175	7217
140	1184	7215
141	1191	7199
142	1198	7181
143	1206	7170
144	1212	7151
145	1219	7134
146	1225	7111
147	1232	7097
148	1240	7086
149	1248	7075
150	1255	7060
151	1263	7048
152	1270	7033
153	1277	7018
154	1284	7003
155	1291	6988
156	1300	6980
157	1307	6967
158	1316	6961
159	1323	6949
160	1332	6943
161	1340	6933
162	1347	6918
163	1354	6904
164	1362	6896
165	1374	6903
166	1381	6891
167	1388	6878
168	1395	6862
169	1402	6849
170	1410	6837
171	1417	6823
172	1425	6815
173	1432	6802
174	1440	6792
175	1448	6779
176	1455	6769
177	1463	6758
178	1470	6745
179	1478	6735
180	1486	6725
181	1495	6722
182	1503	6712
183	1510	6700
184	1518	6688
185	1526	6681
186	1533	6666
187	1541	6657
188	1548	6643
189	1555	6632
190	1562	6618
191	1569	6605
192	1578	6598
193	1587	6595
194	1596	6588
195	1604	6579
196	1611	6570
197	1620	6562
198	1630	6561
199	1638	6554
200	1645	6541
201	1652	6527
202	1659	6516
203	1666	6503
204	1674	6493
205	1681	6482
206	1689	6471
207	1696	6459
208	1704	6451
209	1712	6441
210	1719	6429
211	1726	6417
212	1734	6408
213	1741	6395
214	1748	6384
215	1755	6372
216	1767	6376
217	1778	6380
218	1785	6368
219	1792	6355
220	1799	6343
221	1806	6331
222	1814	6320
223	1820	6307
224	1827	6296
225	1835	6287
226	1842	6275
227	1850	6264
228	1857	6252
229	1864	6242
230	1871	6229
231	1878	6217
232	1885	6208
233	1893	6197
234	1899	6184
235	1906	6173
236	1914	6163
237	1921	6151
238	1928	6142
239	1935	6129
240	1943	6120
241	1949	6107
242	1956	6094
243	1964	6087
244	1971	6075
245	1979	6066
246	1986	6055
247	1993	6046
248	2000	6034
249	2010	6030
250	2016	6018
251	2025	6012
252	2032	6000
253	2039	5990
254	2048	5983
255	2055	5972
256	2063	5965
257	2070	5954
258	2078	5945
259	2084	5933
260	2092	5923
261	2098	5911
262	2105	5901
263	2114	5894
264	2121	5884
265	2128	5872
266	2135	5861
267	2142	5852
268	2149	5841
269	2156	5831
270	2163	5819
271	2171	5813
272	2178	5801
273	2187	5795
274	2194	5785
275	2201	5775
276	2209	5766
277	2215	5755
278	2223	5745
279	2229	5733
280	2237	5724
281	2244	5714
282	2252	5706
283	2259	5696
284	2267	5687
285	2274	5679
286	2282	5669
287	2289	5661
288	2296	5650
289	2303	5640
290	2310	5629
291	2317	5619
292	2324	5608
293	2331	5598
294	2338	5589
295	2346	5581
296	2354	5572
297	2361	5563
298	2369	5555
299	2376	5545
300	2384	5536
301	2390	5526
302	2398	5518
303	2405	5508
304	2412	5498
305	2421	5490
306	2428	5481
307	2436	5475
308	2443	5465
309	2451	5457
310	2459	5447
311	2466	5438
312	2473	5428
313	2480	5418
314	2488	5410
315	2495	5401
316	2503	5394
317	2510	5385
318	2519	5377
319	2527	5371
320	2535	5363
321	2543	5354
322	2551	5346
323	2558	5338
324	2565	5329
325	2572	5318
326	2579	5309
327	2586	5299
328	2594	5292
329	2601	5282
330	2608	5273
331	2616	5265
332	2623	5255
333	2631	5247
334	2638	5237
335	2645	5227
336	2653	5219
337	2659	5209
338	2667	5200
339	2674	5192
340	2682	5184
341	2689	5175
342	2698	5169
343	2705	5159
344	2713	5151
345	2720	5142
346	2727	5132
347	2734	5122
348	2741	5113
349	2748	5103
350	2755	5094
351	2763	5087
352	2770	5077
353	2777	5068
354	2784	5059
355	2791	5050
356	2798	5040
357	2805	5031
358	2813	5022
359	2820	5014
360	2827	5005
361	2834	4996
362	2843	4989
363	2849	4979
364	2856	4970
365	2863	4960
366	2871	4952
367	2878	4944
368	2886	4936
369	2894	4928
370	2901	4919
371	2909	4911
372	2916	4902
373	2924	4894
374	2931	4885
375	2938	4876
376	2945	4867
377	2953	4859
378	2960	4850
379	2967	4841
380	2974	4832
381	2981	4823
382	2989	4815
383	2996	4806
384	3004	4798
385	3010	4789
386	3018	4780
387	3025	4772
388	3033	4764
389	3041	4757
390	3048	4748
391	3056	4740
392	3063	4731
393	3070	4723
394	3077	4713
395	3086	4707
396	3093	4698
397	3100	4689
398	3108	4681
399	3114	4672
400	3122	4664
401	3130	4656
402	3139	4651
403	3148	4645
404	3158	4640
405	3169	4636
406	3177	4629
407	3184	4620
408	3194	4616
409	3204	4611
410	3212	4603
411	3219	4595
412	3227	4587
413	3237	4582
414	3249	4579
415	3258	4574
416	3266	4566
417	3274	4559
418	3284	4554
419	3292	4546
420	3301	4540
421	3309	4532
422	3319	4527
423	3327	4520
424	3337	4515
425	3347	4511
426	3355	4502
427	3364	4496
428	3372	4488
429	3380	4481
430	3389	4474
431	3396	4465
432	3404	4458
433	3412	4450
434	3421	4443
435	3429	4436
436	3436	4427
437	3447	4423
438	3456	4417
439	3464	4409
440	3474	4403
441	3484	4398
442	3493	4392
443	3501	4384
444	3509	4377
445	3518	4370
446	3527	4363
447	3535	4356
448	3544	4349
449	3552	4341
450	3560	4333
451	3568	4325
452	3576	4318
453	3585	4311
454	3592	4303
455	3600	4295
456	3610	4289
457	3618	4282
458	3626	4274
459	3635	4267
460	3644	4261
461	3654	4255
462	3662	4248
463	3670	4239
464	3678	4231
465	3686	4223
466	3694	4216
467	3701	4207
468	3712	4203
469	3721	4196
470	3729	4189
471	3738	4181
472	3746	4174
473	3754	4166
474	3763	4159
475	3771	4152
476	3780	4144
477	3787	4136
478	3795	4128
479	3803	4119
480	3811	4112
481	3820	4105
482	3829	4098
483	3836	4090
484	3845	4083
485	3854	4076
486	3861	4067
487	3870	4060
488	3877	4051
489	3885	4043
490	3893	4036
491	3902	4029
492	3910	4021
493	3919	4015
494	3927	4006
495	3934	3998
496	3944	3991
497	3952	3984
498	3961	3977
499	3970	3970
500	3978	3963
501	3986	3955
502	3997	3949
503	4005	3942
504	4014	3934
505	4024	3928
506	4033	3921
507	4039	3912
508	4048	3905
509	4056	3897
510	4062	3888
511	4071	3880
512	4079	3872
513	4087	3864
514	4096	3858
515	4103	3849
516	4112	3841
517	4120	3834
518	4129	3827
519	4136	3818
520	4143	3809
521	4151	3801
522	4161	3795
523	4169	3787
524	4178	3780
525	4185	3771
526	4195	3765
527	4203	3757
528	4211	3749
529	4219	3742
530	4228	3734
531	4235	3726
532	4243	3717
533	4251	3710
534	4258	3701
535	4266	3692
536	4274	3685
537	4283	3678
538	4291	3670
539	4300	3663
540	4308	3655
541	4316	3647
542	4324	3639
543	4332	3632
544	4342	3625
545	4350	3617
546	4357	3608
547	4365	3600
548	4372	3592
549	4380	3583
550	4388	3576
551	4395	3567
552	4401	3557
553	4410	3550
554	4419	3543
555	4425	3534
556	4432	3525
557	4441	3518
558	4449	3510
559	4456	3501
560	4465	3494
561	4474	3487
562	4484	3480
563	4491	3471
564	4499	3464
565	4510	3458
566	4518	3450
567	4528	3444
568	4538	3437
569	4548	3431
570	4559	3425
571	4567	3417
572	4574	3409
573	4582	3401
574	4593	3395
575	4603	3388
576	4611	3380
577	4620	3373
578	4628	3365
579	4635	3357
580	4644	3349
581	4652	3341
582	4660	3333
583	4669	3326
584	4677	3318
585	4684	3309
586	4693	3302
587	4702	3295
588	4710	3286
589	4718	3279
590	4727	3271
591	4737	3264
592	4746	3257
593	4754	3249
594	4761	3241
595	4769	3233
596	4777	3224
597	4786	3217
598	4794	3209
599	4802	3201
600	4809	3193
601	4816	3184
602	4824	3176
603	4832	3168
604	4840	3160
605	4850	3153
606	4858	3145
607	4868	3138
608	4874	3129
609	4883	3122
610	4890	3113
611	4898	3105
612	4905	3096
613	4915	3089
614	4922	3081
615	4929	3072
616	4937	3064
617	4944	3056
618	4952	3048
619	4959	3039
620	4967	3031
621	4975	3023
622	4983	3015
623	4990	3007
624	4999	2999
625	5006	2990
626	5014	2983
627	5021	2974
628	5029	2966
629	5037	2958
630	5044	2950
631	5052	2942
632	5060	2933
633	5066	2925
634	5072	2915
635	5080	2907
636	5088	2899
637	5096	2891
638	5102	2882
639	5109	2874
640	5120	2867
641	5128	2859
642	5137	2852
643	5145	2844
644	5151	2835
645	5159	2827
646	5167	2819
647	5175	2811
648	5184	2803
649	5193	2796
650	5200	2787
651	5209	2780
652	5215	2771
653	5224	2763
654	5233	2756
655	5241	2748
